q|p|p_root|row|col
2|2|Wrong order of p mod q||
2|3|a||
2|5|a||
2|7|Wrong order of p mod q||
2|11|a|[0 2 3 4 6]|[0 1 2 4 7]
2|13|a|[0 2 3 5]|[0 1 4 6]
11|2|10||
5|2|4||
13|2|12||
7|2|6||
13|3|Wrong order of p mod q||
7|3|Wrong order of p mod q||
7|5|a||
5|3|a||
7|7|Wrong order of p mod q||
5|5|Wrong order of p mod q||
13|5|a||
11|3|a||
13|7|Wrong order of p mod q||
11|5|Wrong order of p mod q||
11|7|Wrong order of p mod q||
5|7|a||
11|11|Wrong order of p mod q||
5|11|Wrong order of p mod q||
5|13|Wrong order of p mod q||
3|2|2||
3|3|Wrong order of p mod q||
3|5|a||
3|7|a||
3|11|Wrong order of p mod q||
3|13|Wrong order of p mod q||
13|11|a||
13|13|Wrong order of p mod q||
7|11|a||
11|13|a||
7|13|a||
